P10 fine boundary scan: n=10 init=10.0 batch=128 steps=60000 cosine
36 runs (~0.9h)

a=2.60 wd=0.04 | s1 unif= 0.993 hi= 1.000 lo= 0.988 | GROK (94s)
a=2.60 wd=0.04 | s2 unif= 0.959 hi= 1.000 lo= 0.931 | GROK (93s)
a=2.60 wd=0.05 | s0 unif= 0.869 hi= 1.000 lo= 0.768 | PARTIAL (93s)
a=2.60 wd=0.05 | s1 unif= 0.962 hi= 1.000 lo= 0.932 | GROK (93s)
a=2.60 wd=0.05 | s2 unif= 0.971 hi= 1.000 lo= 0.946 | GROK (94s)
a=2.60 wd=0.06 | s0 unif= 0.899 hi= 0.998 lo= 0.839 | PARTIAL (93s)
a=2.60 wd=0.06 | s1 unif= 0.931 hi= 1.000 lo= 0.880 | GROK (94s)
a=2.60 wd=0.06 | s2 unif= 0.958 hi= 1.000 lo= 0.928 | GROK (93s)
a=2.75 wd=0.03 | s0 unif= 0.733 hi= 1.000 lo= 0.484 | PARTIAL (93s)
a=2.75 wd=0.03 | s1 unif= 0.917 hi= 1.000 lo= 0.853 | GROK (95s)
a=2.75 wd=0.03 | s2 unif= 0.859 hi= 0.989 lo= 0.771 | PARTIAL (95s)
a=2.75 wd=0.03 | s3 unif= 0.982 hi= 1.000 lo= 0.974 | GROK (93s)
a=2.75 wd=0.03 | s4 unif= 0.971 hi= 1.000 lo= 0.944 | GROK (94s)
a=2.75 wd=0.04 | s0 unif= 0.607 hi= 0.997 lo= 0.378 | PARTIAL (94s)
a=2.75 wd=0.04 | s1 unif= 0.910 hi= 1.000 lo= 0.844 | GROK (94s)
a=2.75 wd=0.04 | s2 unif= 0.812 hi= 0.999 lo= 0.665 | PARTIAL (96s)
a=2.75 wd=0.04 | s3 unif= 0.953 hi= 1.000 lo= 0.909 | GROK (93s)
a=2.75 wd=0.04 | s4 unif= 0.869 hi= 0.999 lo= 0.756 | PARTIAL (95s)
a=2.75 wd=0.06 | s0 unif= 0.854 hi= 1.000 lo= 0.770 | PARTIAL (93s)
a=2.75 wd=0.06 | s1 unif= 0.801 hi= 1.000 lo= 0.649 | PARTIAL (94s)
a=2.75 wd=0.06 | s2 unif= 0.953 hi= 0.997 lo= 0.935 | GROK (94s)
a=2.75 wd=0.06 | s3 unif= 0.618 hi= 0.999 lo= 0.350 | PARTIAL (93s)
a=2.75 wd=0.06 | s4 unif= 0.750 hi= 0.998 lo= 0.567 | PARTIAL (93s)
a=2.75 wd=0.07 | s0 unif= 0.901 hi= 1.000 lo= 0.821 | GROK (93s)
a=2.75 wd=0.07 | s1 unif= 0.591 hi= 0.996 lo= 0.335 | PARTIAL (95s)
a=2.75 wd=0.07 | s2 unif= 0.846 hi= 0.997 lo= 0.745 | PARTIAL (93s)
a=2.75 wd=0.07 | s3 unif= 0.802 hi= 1.000 lo= 0.636 | PARTIAL (94s)
a=2.75 wd=0.07 | s4 unif= 0.731 hi= 0.997 lo= 0.517 | PARTIAL (94s)
a=2.90 wd=0.02 | s0 unif= 0.422 hi= 1.000 lo= 0.117 | TRAP (94s)
a=2.90 wd=0.02 | s1 unif= 0.203 hi= 0.847 lo= 0.015 | CRUSH (94s)
a=2.90 wd=0.02 | s2 unif= 0.527 hi= 0.990 lo= 0.222 | PARTIAL (93s)
a=2.90 wd=0.03 | s0 unif= 0.770 hi= 0.999 lo= 0.668 | PARTIAL (94s)
a=2.90 wd=0.03 | s1 unif= 0.895 hi= 1.000 lo= 0.798 | PARTIAL (93s)
a=2.90 wd=0.03 | s2 unif= 0.820 hi= 0.999 lo= 0.692 | PARTIAL (93s)
a=2.90 wd=0.04 | s0 unif= 0.482 hi= 1.000 lo= 0.028 | TRAP (93s)
a=2.90 wd=0.04 | s1 unif= 0.997 hi= 1.000 lo= 0.996 | GROK (95s)
a=2.90 wd=0.04 | s2 unif= 0.926 hi= 0.997 lo= 0.877 | GROK (94s)
a=2.90 wd=0.05 | s0 unif= 0.374 hi= 0.998 lo= 0.031 | TRAP (93s)
a=2.90 wd=0.05 | s1 unif= 0.838 hi= 0.999 lo= 0.733 | PARTIAL (94s)
a=2.90 wd=0.05 | s2 unif= 0.535 hi= 1.000 lo= 0.098 | PARTIAL (93s)
a=3.00 wd=0.02 | s0 unif= 0.414 hi= 0.991 lo= 0.000 | TRAP (94s)
a=3.00 wd=0.02 | s1 unif= 0.290 hi= 0.829 lo= 0.084 | CRUSH (93s)
a=3.00 wd=0.02 | s2 unif= 0.599 hi= 0.978 lo= 0.321 | PARTIAL (94s)
a=3.00 wd=0.03 | s0 unif= 0.622 hi= 0.985 lo= 0.456 | PARTIAL (94s)
a=3.00 wd=0.03 | s1 unif= 0.413 hi= 0.987 lo= 0.114 | TRAP (94s)
a=3.00 wd=0.03 | s2 unif= 0.682 hi= 1.000 lo= 0.381 | PARTIAL (94s)
a=3.00 wd=0.04 | s0 unif= 0.480 hi= 1.000 lo= 0.000 | TRAP (93s)
a=3.00 wd=0.04 | s1 unif= 0.560 hi= 0.998 lo= 0.332 | PARTIAL (93s)
a=3.00 wd=0.04 | s2 unif= 0.867 hi= 1.000 lo= 0.740 | PARTIAL (93s)

=== mean A_unif per cell ===
a=2.00  wd=0.15: 0.969 (2/2) | wd=0.20: 0.915 (2/2) | wd=0.35: 0.728 (0/5) | wd=0.40: 0.803 (1/5) | wd=0.45: 0.689 (0/5)
a=2.10  wd=0.05: 0.999 (3/3) | wd=0.10: 0.997 (3/3) | wd=0.15: 0.960 (3/3) | wd=0.20: 0.782 (1/3)
a=2.25  wd=0.11: 0.943 (4/5) | wd=0.12: 0.969 (4/5) | wd=0.13: 0.798 (3/5) | wd=0.14: 0.895 (3/5)
a=2.40  wd=0.05: 0.991 (3/3) | wd=0.06: 0.991 (3/3) | wd=0.07: 0.980 (3/3) | wd=0.08: 0.987 (3/3)
a=2.50  wd=0.06: 0.965 (5/5) | wd=0.07: 0.948 (4/5) | wd=0.08: 0.950 (4/5) | wd=0.09: 0.870 (4/5)
a=2.60  wd=0.03: 0.985 (3/3) | wd=0.04: 0.963 (3/3) | wd=0.05: 0.934 (2/3) | wd=0.06: 0.930 (2/3)
a=2.75  wd=0.03: 0.892 (3/5) | wd=0.04: 0.830 (2/5) | wd=0.06: 0.795 (1/5) | wd=0.07: 0.774 (1/5)
a=2.90  wd=0.02: 0.384 (0/3) | wd=0.03: 0.828 (0/3) | wd=0.04: 0.802 (2/3) | wd=0.05: 0.582 (0/3)
a=3.00  wd=0.02: 0.435 (0/3) | wd=0.03: 0.572 (0/3) | wd=0.04: 0.636 (0/3)

elapsed 12747s -> results/p10_fine_boundary.json
