[m2b_targeted] a=3.00 wd=0.300 k=0 inj=unif b=128 B=60k s1 | unif= 0.110 hi= 0.697 | CRUSH
[m2b_targeted] a=3.00 wd=0.300 k=0 inj=unif b=128 B=60k s2 | unif= 0.081 hi= 0.562 | CRUSH
[m2b_targeted] done: 36 runs, 3369s
[m2c_mstar_budget] a=2.50 wd=0.300 k=0 inj=unif b=128 B=15k s0 | unif= 0.167 hi= 0.884 | CRUSH
[m2c_mstar_budget] a=2.50 wd=0.300 k=0 inj=unif b=128 B=15k s1 | unif= 0.240 hi= 0.975 | TRAP
[m2c_mstar_budget] a=2.50 wd=0.300 k=0 inj=unif b=128 B=15k s2 | unif= 0.124 hi= 0.846 | CRUSH
[m2c_mstar_budget] a=2.50 wd=0.300 k=1 inj=unif b=128 B=15k s0 | unif= 0.941 hi= 0.985 | GROK
[m2c_mstar_budget] a=2.50 wd=0.300 k=1 inj=unif b=128 B=15k s1 | unif= 0.991 hi= 1.000 | GROK
[m2c_mstar_budget] a=2.50 wd=0.300 k=1 inj=unif b=128 B=15k s2 | unif= 0.965 hi= 0.998 | GROK
[m2c_mstar_budget] a=2.50 wd=0.300 k=0 inj=unif b=128 B=30k s0 | unif= 0.135 hi= 0.761 | CRUSH
[m2c_mstar_budget] a=2.50 wd=0.300 k=0 inj=unif b=128 B=30k s1 | unif= 0.168 hi= 0.877 | CRUSH
[m2c_mstar_budget] a=2.50 wd=0.300 k=0 inj=unif b=128 B=30k s2 | unif= 0.120 hi= 0.768 | CRUSH
[m2c_mstar_budget] a=2.50 wd=0.300 k=1 inj=unif b=128 B=30k s0 | unif= 0.984 hi= 0.998 | GROK
[m2c_mstar_budget] a=2.50 wd=0.300 k=1 inj=unif b=128 B=30k s1 | unif= 0.934 hi= 0.971 | GROK
[m2c_mstar_budget] a=2.50 wd=0.300 k=1 inj=unif b=128 B=30k s2 | unif= 0.766 hi= 0.895 | PARTIAL
[m2c_mstar_budget] done: 12 runs, 418s
