[m1_n12_boundary] a=2.50 wd=0.060 k=0 inj=unif b=128 B=240k s2 | unif= 0.655 hi= 0.996 | PARTIAL
[m1_n12_boundary] a=2.50 wd=0.080 k=0 inj=unif b=128 B=240k s0 | unif= 0.533 hi= 0.989 | PARTIAL
[m1_n12_boundary] a=2.50 wd=0.080 k=0 inj=unif b=128 B=240k s1 | unif= 0.837 hi= 0.998 | PARTIAL
[m1_n12_boundary] a=2.50 wd=0.080 k=0 inj=unif b=128 B=240k s2 | unif= 0.477 hi= 0.996 | TRAP
[m1_n12_boundary] a=2.75 wd=0.050 k=0 inj=unif b=128 B=240k s0 | unif= 0.655 hi= 0.989 | PARTIAL
[m1_n12_boundary] a=2.75 wd=0.050 k=0 inj=unif b=128 B=240k s1 | unif= 0.510 hi= 0.954 | PARTIAL
[m1_n12_boundary] a=2.75 wd=0.050 k=0 inj=unif b=128 B=240k s2 | unif= 0.844 hi= 0.994 | PARTIAL
[m1_n12_boundary] a=3.00 wd=0.050 k=0 inj=unif b=128 B=240k s0 | unif= 0.549 hi= 0.985 | PARTIAL
[m1_n12_boundary] a=3.00 wd=0.050 k=0 inj=unif b=128 B=240k s1 | unif= 0.387 hi= 0.950 | TRAP
[m1_n12_boundary] a=3.00 wd=0.050 k=0 inj=unif b=128 B=240k s2 | unif= 0.382 hi= 0.931 | TRAP
[m1_n12_boundary] done: 24 runs, 9483s
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s0 | unif= 0.888 hi= 0.999 | PARTIAL
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s1 | unif= 0.446 hi= 0.993 | TRAP
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s2 | unif= 0.986 hi= 1.000 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s3 | unif= 0.954 hi= 1.000 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s4 | unif= 0.990 hi= 1.000 | GROK
[m1_budget_curves] a=2.25 wd=0.125 k=0 inj=unif b=128 B=60k s5 | unif= 0.868 hi= 1.000 | PARTIAL
