[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s8 | unif= 0.926 hi= 0.999 lo= 0.878 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.50 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s1 | unif= 0.836 hi= 0.938 lo= 0.797 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s2 | unif= 0.728 hi= 0.705 lo= 0.743 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=0.70 k=0 inj=uniform  s4 | unif= 0.791 hi= 0.834 lo= 0.769 | PARTIAL (103s)
