[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s1 | unif= 0.611 hi= 0.999 | PARTIAL
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s2 | unif= 0.868 hi= 0.992 | PARTIAL
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s3 | unif= 0.811 hi= 0.997 | PARTIAL
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s4 | unif= 0.612 hi= 0.988 | PARTIAL
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s5 | unif= 0.905 hi= 0.999 | GROK
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s6 | unif= 0.823 hi= 0.994 | PARTIAL
[m9_densify] a=2.15 wd=0.205 k=0 inj=unif b=128 B=60k s7 | unif= 0.915 hi= 0.999 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s0 | unif= 0.979 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s1 | unif= 0.941 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s2 | unif= 0.993 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s3 | unif= 0.989 hi= 0.999 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s4 | unif= 0.973 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s5 | unif= 0.980 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s6 | unif= 0.989 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.093 k=0 inj=unif b=128 B=60k s7 | unif= 0.993 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s0 | unif= 0.982 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s1 | unif= 0.843 hi= 0.998 | PARTIAL
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s2 | unif= 0.915 hi= 0.994 | GROK
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s3 | unif= 0.863 hi= 0.997 | PARTIAL
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s4 | unif= 0.841 hi= 0.992 | PARTIAL
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s5 | unif= 0.754 hi= 0.998 | PARTIAL
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s6 | unif= 0.944 hi= 1.000 | GROK
[m9_densify] a=2.35 wd=0.133 k=0 inj=unif b=128 B=60k s7 | unif= 0.922 hi= 0.999 | GROK
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s0 | unif= 0.829 hi= 0.995 | PARTIAL
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s1 | unif= 0.322 hi= 0.981 | TRAP
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s2 | unif= 0.669 hi= 0.994 | PARTIAL
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s3 | unif= 0.777 hi= 0.996 | PARTIAL
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s4 | unif= 0.920 hi= 0.998 | GROK
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s5 | unif= 0.667 hi= 0.984 | PARTIAL
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s6 | unif= 0.457 hi= 0.989 | TRAP
[m9_densify] a=2.35 wd=0.172 k=0 inj=unif b=128 B=60k s7 | unif= 0.769 hi= 0.994 | PARTIAL
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s0 | unif= 0.815 hi= 0.999 | PARTIAL
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s1 | unif= 0.964 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s2 | unif= 0.984 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s3 | unif= 0.952 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s4 | unif= 0.986 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s5 | unif= 0.990 hi= 0.998 | GROK
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s6 | unif= 0.978 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.085 k=0 inj=unif b=128 B=60k s7 | unif= 0.991 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s0 | unif= 0.896 hi= 0.999 | PARTIAL
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s1 | unif= 0.989 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s2 | unif= 0.867 hi= 0.999 | PARTIAL
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s3 | unif= 0.430 hi= 0.981 | TRAP
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s4 | unif= 0.923 hi= 0.998 | GROK
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s5 | unif= 0.463 hi= 0.978 | TRAP
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s6 | unif= 0.630 hi= 0.995 | PARTIAL
[m9_densify] a=2.45 wd=0.122 k=0 inj=unif b=128 B=60k s7 | unif= 0.954 hi= 1.000 | GROK
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s0 | unif= 0.279 hi= 0.964 | TRAP
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s1 | unif= 0.728 hi= 0.995 | PARTIAL
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s2 | unif= 0.149 hi= 0.817 | CRUSH
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s3 | unif= 0.525 hi= 0.993 | PARTIAL
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s4 | unif= 0.373 hi= 0.959 | TRAP
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s5 | unif= 0.641 hi= 0.987 | PARTIAL
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s6 | unif= 0.395 hi= 0.948 | TRAP
[m9_densify] a=2.45 wd=0.158 k=0 inj=unif b=128 B=60k s7 | unif= 0.490 hi= 0.988 | TRAP
[m9_densify] a=2.55 wd=0.078 k=0 inj=unif b=128 B=60k s0 | unif= 0.999 hi= 1.000 | GROK
